symbol,shares,avg_cost,current_price,current_value,gain_loss_pct
SVC,23.00,2.63,2.21,50.83,-15.97%
AMZN,1.76,227.75,209.14,368.09,-8.17%
SPXS,7.34,149.42,35.44,260.13,-76.28%
GLDW,5.00,51.03,63.78,318.90,24.98%
GOOGL,1.25,303.12,311.69,389.61,2.83%
GOOW,1.07,70.95,67.50,72.23,-4.86%
LRCX,0.26,246.99,233.89,60.81,-5.30%
MU,0.10,424.50,412.37,41.24,-2.86%
META,0.09,654.91,648.51,58.37,-0.98%
MSFT,0.14,391.36,394.17,55.18,0.72%
AMD,0.33,198.96,190.88,63.00,-4.06%
TSM,0.12,369.36,370.00,44.40,0.17%
JPM,0.08,309.39,296.48,23.72,-4.17%
IREN,0.49,40.26,44.03,21.57,9.36%
COST,0.02,984.29,994.76,19.90,1.06%
CME,0.06,311.62,272.95,16.38,-12.41%
XDTE,56.50,41.55,39.11,2209.72,-5.87%
