symbol,shares,avg_cost,current_price,current_value,gain_loss_pct
SVC,23.00,2.63,1.27,29.21,-51.71%
AMZN,1.76,227.75,209.77,369.20,-7.89%
SPXS,7.34,149.42,39.48,289.78,-73.58%
GLDW,5.00,51.03,53.33,266.65,4.51%
GOOGL,1.25,303.12,295.77,369.71,-2.42%
GOOW,1.07,70.95,59.71,63.89,-15.84%
LRCX,0.26,246.99,218.44,56.79,-11.56%
MU,0.10,424.50,366.24,36.62,-13.72%
META,0.09,654.91,574.46,51.70,-12.28%
MSFT,0.14,391.36,373.46,52.28,-4.57%
AMD,0.33,198.96,217.50,71.78,9.32%
TSM,0.12,369.36,339.04,40.68,-8.21%
JPM,0.08,309.39,294.60,23.57,-4.78%
IREN,0.49,40.26,34.77,17.04,-13.64%
COST,0.02,984.29,1014.96,20.30,3.12%
CME,0.06,311.62,305.11,18.31,-2.09%
XDTE,56.50,41.55,36.56,2065.64,-12.01%
